ID,instrumento,fonte,fase,modulo,licao,assunto,subassunto,habilidade,pagina,dificuldade,tipo_de_atividade,tipo_de_questao,pre_requisito,objetivo,tags
VIO-MSA-F09-Q001,violino,MSA,9,MSA-F09,,Medida do ritmo acéfalo,f9.acefalo-medida,COMPREENSÃO,118,4,QUESTAO,multipla_escolha,,Avaliar: medida do ritmo acéfalo,msa;fase9;gerador;16variantes
VIO-MSA-F09-Q002,violino,MSA,9,MSA-F09,,Conceitos e definições,f9.conceitos,MEMORIZAÇÃO,111 a 121,4,QUESTAO,multipla_escolha,,Avaliar: conceitos e definições,msa;fase9;gerador;14variantes
VIO-MSA-F09-Q003,violino,MSA,9,MSA-F09,,Hinos acéfalos do hinário,f9.hinos,MEMORIZAÇÃO,121,4,QUESTAO,multipla_escolha,,Avaliar: hinos acéfalos do hinário,msa;fase9;gerador;6variantes
VIO-MSA-F09-Q004,violino,MSA,9,MSA-F09,,Padrões rítmicos,f9.padrao-ritmico,ANÁLISE,111 e 114,4,QUESTAO,multipla_escolha,,Avaliar: padrões rítmicos,msa;fase9;gerador;16variantes
VIO-MSA-F09-Q005,violino,MSA,9,MSA-F09,,Ritmo inicial do trecho,f9.ritmo-inicial-caso,ANÁLISE,118,4,QUESTAO,multipla_escolha,,Avaliar: ritmo inicial do trecho,msa;fase9;gerador;24variantes
VIO-MSA-F09-Q006,violino,MSA,9,MSA-F09,,Síncopa e contratempo,f9.sincopa-contratempo,ANÁLISE,111 e 114,4,QUESTAO,multipla_escolha,,Avaliar: síncopa e contratempo,msa;fase9;gerador;24variantes
VIO-MSA-F10-Q001,violino,MSA,10,MSA-F10,,Termos de andamento,f10.andamento,MEMORIZAÇÃO,129,5,QUESTAO,multipla_escolha,,Avaliar: termos de andamento,msa;fase10;gerador;18variantes
VIO-MSA-F10-Q002,violino,MSA,10,MSA-F10,,Do bpm ao termo de andamento,f10.bpm-para-termo,APLICAÇÃO,129,5,QUESTAO,multipla_escolha,,Avaliar: do bpm ao termo de andamento,msa;fase10;gerador;15variantes
VIO-MSA-F10-Q003,violino,MSA,10,MSA-F10,,Classificar a indicação,f10.classifica-indicacao,ANÁLISE,93 e 131,5,QUESTAO,multipla_escolha,,Avaliar: classificar a indicação,msa;fase10;gerador;28variantes
VIO-MSA-F10-Q004,violino,MSA,10,MSA-F10,,Termos de expressão,f10.expressao,MEMORIZAÇÃO,131,5,QUESTAO,multipla_escolha,,Avaliar: termos de expressão,msa;fase10;gerador;16variantes
VIO-MSA-F10-Q005,violino,MSA,10,MSA-F10,,Forma: frase e semifrase,f10.forma,COMPREENSÃO,131 a 138,5,QUESTAO,multipla_escolha,,Avaliar: forma: frase e semifrase,msa;fase10;gerador;10variantes
VIO-MSA-F10-Q006,violino,MSA,10,MSA-F10,,Comparar andamentos,f10.mais-rapido,ANÁLISE,129,5,QUESTAO,multipla_escolha,,Avaliar: comparar andamentos,msa;fase10;gerador;30variantes
VIO-MSA-F10-Q007,violino,MSA,10,MSA-F10,,Figura pontuada no contexto,f10.pontuada-no-contexto,APLICAÇÃO,126,5,QUESTAO,multipla_escolha,,Avaliar: figura pontuada no contexto,msa;fase10;gerador;12variantes
